ID,nb_visits,entry_nb_visits,exit_nb_visits
http://calenda.org/389122,84,49.0,59.0
http://calenda.org/398822,84,46.0,45.0
http://calenda.org/400846,84,31.0,35.0
http://calenda.org/401745,84,33.0,44.0
http://calenda.org/402661,84,56.0,57.0
http://calenda.org/390757,83,35.0,41.0
http://calenda.org/394134,83,26.0,32.0
http://calenda.org/394916,83,57.0,62.0
http://calenda.org/391653,82,46.0,52.0
http://calenda.org/392722,82,59.0,64.0
http://calenda.org/399257,82,38.0,43.0
http://calenda.org/400725,82,31.0,40.0
http://calenda.org/388156,81,22.0,26.0
http://calenda.org/388639,81,36.0,40.0
http://calenda.org/391099,81,55.0,54.0
http://calenda.org/392195,81,49.0,51.0
http://calenda.org/397420,81,32.0,36.0
http://calenda.org/397868,81,54.0,46.0
http://calenda.org/352178,80,76.0,78.0
http://calenda.org/398112,80,48.0,48.0
http://calenda.org/401151,80,17.0,34.0
http://calenda.org/386632,79,28.0,36.0
http://calenda.org/396188,79,63.0,64.0
http://calenda.org/398092,79,52.0,54.0
http://calenda.org/398578,79,34.0,42.0
http://calenda.org/398997,79,58.0,60.0
http://calenda.org/393656,78,47.0,51.0
http://calenda.org/394454,78,44.0,47.0
http://calenda.org/398893,78,38.0,42.0
http://calenda.org/400831,78,33.0,32.0
http://calenda.org/203991,77,77.0,75.0
http://calenda.org/391809,77,45.0,45.0
http://calenda.org/391978,77,25.0,26.0
http://calenda.org/393169,77,26.0,30.0
http://calenda.org/393662,77,46.0,44.0
http://calenda.org/399488,77,45.0,48.0
http://calenda.org/400203,77,20.0,35.0
http://calenda.org/400947,77,29.0,37.0
http://calenda.org/401785,77,31.0,38.0
http://calenda.org/388747,76,60.0,59.0
http://calenda.org/390532,76,38.0,33.0
http://calenda.org/391788,76,64.0,62.0
http://calenda.org/395255,76,51.0,53.0
http://calenda.org/400207,76,33.0,30.0
http://calenda.org/400456,76,29.0,34.0
http://calenda.org/401614,76,37.0,42.0
http://calenda.org/386897,75,39.0,35.0
http://calenda.org/387957,75,25.0,33.0
http://calenda.org/388868,75,26.0,32.0
http://calenda.org/389098,75,38.0,38.0
http://calenda.org/395090,75,52.0,50.0
http://calenda.org/395669,75,37.0,43.0
http://calenda.org/397399,75,22.0,26.0
http://calenda.org/378957,74,72.0,70.0
http://calenda.org/388834,74,47.0,48.0
http://calenda.org/397530,74,62.0,56.0
http://calenda.org/398916,74,28.0,28.0
http://calenda.org/400913,74,31.0,37.0
http://calenda.org/382484,73,73.0,73.0
http://calenda.org/389676,73,29.0,41.0
http://calenda.org/393774,73,18.0,31.0
http://calenda.org/399691,73,28.0,34.0
http://calenda.org/399938,73,48.0,49.0
http://calenda.org/376870,72,51.0,51.0
http://calenda.org/383096,72,58.0,54.0
http://calenda.org/384457,72,42.0,48.0
http://calenda.org/385171,72,22.0,32.0
http://calenda.org/388086,72,31.0,42.0
http://calenda.org/388515,72,36.0,27.0
http://calenda.org/390693,72,34.0,34.0
http://calenda.org/391111,72,49.0,46.0
http://calenda.org/392001,72,54.0,55.0
http://calenda.org/392101,72,20.0,24.0
http://calenda.org/393750,72,38.0,44.0
http://calenda.org/397519,72,21.0,29.0
http://calenda.org/398070,72,31.0,36.0
http://calenda.org/399071,72,34.0,37.0
http://calenda.org/399583,72,30.0,33.0
http://calenda.org/389747,71,36.0,43.0
http://calenda.org/390369,71,21.0,29.0
http://calenda.org/396948,71,17.0,19.0
http://calenda.org/397010,71,32.0,33.0
http://calenda.org/399845,71,30.0,38.0
http://calenda.org/400185,71,21.0,31.0
http://calenda.org/374480,70,67.0,54.0
http://calenda.org/378977,70,24.0,29.0
http://calenda.org/387903,70,35.0,35.0
http://calenda.org/390138,70,29.0,32.0
http://calenda.org/391535,70,45.0,46.0
http://calenda.org/392851,70,25.0,35.0
http://calenda.org/393498,70,22.0,22.0
http://calenda.org/393597,70,35.0,38.0
http://calenda.org/393616,70,42.0,40.0
http://calenda.org/398290,70,51.0,50.0
http://calenda.org/399840,70,45.0,41.0
http://calenda.org/401412,70,39.0,39.0
http://calenda.org/260586,69,65.0,63.0
http://calenda.org/389702,69,17.0,26.0
http://calenda.org/389826,69,39.0,40.0
http://calenda.org/394920,69,26.0,25.0
http://calenda.org/397327,69,29.0,41.0
http://calenda.org/398323,69,40.0,45.0
http://calenda.org/401464,69,37.0,39.0
http://calenda.org/388988,68,22.0,25.0
http://calenda.org/389476,68,19.0,24.0
http://calenda.org/392095,68,44.0,43.0
http://calenda.org/393004,68,43.0,47.0
http://calenda.org/395002,68,30.0,35.0
http://calenda.org/398412,68,34.0,35.0
http://calenda.org/399575,68,23.0,27.0
http://calenda.org/400472,68,28.0,28.0
http://calenda.org/401606,68,50.0,47.0
http://calenda.org/208999,67,66.0,63.0
http://calenda.org/391194,67,43.0,37.0
http://calenda.org/400029,67,15.0,28.0
http://calenda.org/400039,67,41.0,47.0
http://calenda.org/400952,67,27.0,33.0
http://calenda.org/401483,67,39.0,40.0
http://calenda.org/381645,66,31.0,38.0
http://calenda.org/390570,66,28.0,30.0
http://calenda.org/392529,66,31.0,34.0
http://calenda.org/395800,66,19.0,22.0
http://calenda.org/397195,66,47.0,48.0
http://calenda.org/398383,66,24.0,27.0
http://calenda.org/399560,66,18.0,24.0
http://calenda.org/400668,66,40.0,22.0
http://calenda.org/400712,66,30.0,32.0
http://calenda.org/401516,66,33.0,33.0
http://calenda.org/401709,66,27.0,35.0
http://calenda.org/387948,65,34.0,33.0
http://calenda.org/391520,65,23.0,27.0
http://calenda.org/391640,65,18.0,27.0
http://calenda.org/392387,65,18.0,27.0
http://calenda.org/397408,65,40.0,44.0
http://calenda.org/397758,65,36.0,42.0
http://calenda.org/248750,64,63.0,61.0
http://calenda.org/330706,64,37.0,34.0
http://calenda.org/359477,64,64.0,63.0
http://calenda.org/390146,64,29.0,31.0
http://calenda.org/390151,64,27.0,32.0
http://calenda.org/392407,64,29.0,29.0
http://calenda.org/392907,64,24.0,27.0
http://calenda.org/393632,64,33.0,37.0
http://calenda.org/397949,64,43.0,44.0
http://calenda.org/398706,64,18.0,27.0
http://calenda.org/399245,64,38.0,40.0
http://calenda.org/389024,63,14.0,30.0
http://calenda.org/394421,63,23.0,27.0
http://calenda.org/394432,63,41.0,46.0
http://calenda.org/394486,63,35.0,41.0
http://calenda.org/394987,63,31.0,33.0
http://calenda.org/397395,63,24.0,26.0
